timestamp_full,symbol,side,pre_time,full_time,delay_sec,price_pre,price_full,delta_pct,m15_score_pre,m15_score_full,h1_score_full,dist_pre_atr,dist_full_atr
1758855683,ADA/USDT,SHORT,1758855383,1758855683,300.23,0.7754,0.775,-0.0516,11.45,11.45,12.87,0.2628,0.3945
1758855683,LINK/USDT,SHORT,1758855383,1758855683,300.23,20.5,20.49,-0.0488,10.39,10.39,12.87,0.0929,0.206
1758855683,MATIC/USDT,SHORT,1758855383,1758855683,300.23,0.3794,0.3794,0.0,8.8,8.8,8.68,0.2537,0.2537
1758855683,ATOM/USDT,SHORT,1758855383,1758855683,300.23,4.035,4.038,0.0743,11.45,10.07,11.71,0.0486,0.2417
1758856404,ADA/USDT,SHORT,1758855863,1758856404,540.35,0.7746,0.7763,0.2195,11.45,7.95,12.87,0.5186,0.1277
1758856404,LTC/USDT,SHORT,1758856043,1758856404,360.25,102.91,103.24,0.3207,15.78,7.95,11.71,0.2729,1.0421
1758856464,ADA/USDT,SHORT,1758855863,1758856464,600.39,0.7746,0.7764,0.2324,11.45,7.95,11.71,0.5186,0.1624
1758856464,LTC/USDT,SHORT,1758856043,1758856464,420.29,102.91,103.26,0.3401,15.78,7.95,11.71,0.2729,1.1086
1758856524,ADA/USDT,SHORT,1758855863,1758856524,660.44,0.7746,0.7765,0.2453,11.45,7.95,11.71,0.5186,0.2244
1758857004,ADA/USDT,SHORT,1758856704,1758857004,300.16,0.7757,0.7749,-0.1031,9.33,11.45,12.87,0.0781,0.334
1758857004,LTC/USDT,SHORT,1758856043,1758857004,960.62,102.91,103.12,0.2041,15.78,10.07,11.71,0.2729,0.6076
1758859038,SOL/USDT,SHORT,1758858978,1758859038,60.05,196.56,196.47,-0.0458,10.39,10.39,12.87,1.4521,1.5625
1758859038,LTC/USDT,SHORT,1758858737,1758859038,300.22,102.93,103.1,0.1652,12.82,10.28,11.71,0.0965,0.6516
1758859038,MATIC/USDT,SHORT,1758858737,1758859038,300.22,0.3794,0.3794,0.0,8.8,8.8,8.68,0.2537,0.2537
1759078627,MATIC/USDT,SHORT,1759078326,1759078627,300.21,0.3794,0.3794,0.0,8.8,8.8,8.68,0.2537,0.2537
